English Word,Korean Word,KNN Results,Match Found
Bit-Coin,비트코인,N/A,False
KakaoTalk,카카오톡,"바이버, 카카오톡과, WeChat, 아이메시지, 카카오톡이란, SNS서비스, 네이트온톡, 모바일메신저, 카카오톡이라는, 카카오톡분석",True
Facebook,페이스북,"페이스북, SNS, 페이스북은, 페이스북과, 뉴스피드의, 팔로우하거나, 공식블로그를, 페이스북의, 뉴스피드는, 메타사이트",True
Instagram,인스타그램,"페이스북, SNS, Vyrl, 리그램, 인스타, 팔로우, 페이스북페이지, 패이스북, 스타일쉐어, 인스타일",False
Arduino,아두이노,"아두이노, 아두이노의, 아두이노에, 아두이노를, 아두이노와, Arduino, Arduino의, Arduino를, 아두이노는, 아두이노가",True
protocol,프로토콜,"프로토콜, OSPF, ppTp, TFTP, TCP의, 인증기술, IGMP, 브리징, HDLC, SNMP",True
YouTube,유튜브,"유튜브, 유투브, 유투브의, 유트브, 유튜브나, 동영상, 유튜브의, YouTube, 유튜브에, 팟케스트",True
Ethernet,이더넷,"이더넷, 40Gbps, DWDM, IGMP, 10Gbps, CPRI, 10Gbps의, RS-485, 10Gb, 기가비트급",True
AlphaGo,알파고,"알파고가, 알파고를, 기계학습, 인공지능, 딥마인드의, 딥마인드가, 알파고와의, 딥마인드, 바둑계는, 바둑프로그램",True
Cloud-Computing,클라우드-컴퓨팅,N/A,False
Android,안드로이드,"안드로이드, 안드로이드OS, iOS, 윈도폰7, iOS나, 윈도우폰7, 윈도우폰, 안드로이드마켓, 윈도폰, 안드로이드OS가",True
Infographics,인포그래픽,"인포그래픽, 디지털마케팅, 인포그래픽스-, 인포그래픽과, 인포그래픽의, 데이터시각화, 동영상광고, 인포그래픽으로, Design태그, 인포그래픽을",True
software,소프트웨어,"소프트웨어, 소프트웨어용, 소프트웨어의, 소프트웨어를, 소프웨어, 공개소스, 소프트웨어란, 개발도구, 소프트웨어숨은, 안티멀웨어",True
mobile,모바일,"모바일, 스마트폰, 단말기용, 앱, 태블릿용, 피처폰, 영상채팅, PC, 모바일앱, 휴대폰",True
router,라우터,"PPTP, 라우터, IGMP, 공유기를, 공유기, 무선랜카드, 공유기에서, 라우터나, 주변장치, 공유기의",True
data-base,데이터베이스,"전자자료, 정보학, 시소러스, 자료검색, 연속간행물, DB구축, 질의어, 자료흐름도, 연구정보, 통계시스템",False
smart-phone,스마트폰,"스마트폰, 스마트폰은, 스마트폰을, 태블릿용, 태블릿, 스마트폰이, 스마트폰의, 모바일폰, 스마트패드, 스마트기기와",True
ransomware,랜섬웨어,"랜섬웨어, 랜섬웨어로, 보안위협의, 랜섬웨어의, 랜섬웨어에, 보안위협, 랜섬웨어를, 랜섬웨어가, 랜섬웨어인, 랜섬웨어도",True
LINE,라인,"LINE, Line, B000, Curzon, 8018, A.B.C, 13A, SATELLITE, P160, QUMICO",False
Day-Marketing,데이마케팅,N/A,False
snapchat,스냅챗,"랜덤채팅, 셀기꾼, 인스타, 화상채팅, 카톡이나, 랜덤채팅을, 움짤이, 잠금화면에, 패이스북, 동싸이트",False
Linux,리눅스,"리눅스, 윈도우즈, 윈도우즈와, 운영체제, ARM용, 리눅스가, QEMU, X86, 윈도우, OpenVZ",True
data-mining,데이터마이닝,"데이터마이닝과, 데이터마이닝, 텍스트마이닝, 기계학습, 감정분석, 정보분석, 데이터마이닝의, 예측적, 웹로그, 데이터마이닝은",True
spread-sheet,스프레드시트,"차트작성, 스프레드쉬트, xls, DOCX, 엑셀파일, VBA로, 로그파일, 작성법과, 산점도, 데이터소스",False
Flash-Memory,플래시메모리,N/A,False
PowerPoint,파워포인트,"파워포인트나, 파워포인트가, 프레젠테이션, 프리젠테이션, 파워포인트2010, 파워포인트는, 파워포인트의, 슬라이드나, 파워포인트용, 파워포인트2013",True
firmware,펌웨어,"펌웨어, v5, 펌웨어를, 펌웨어인, 펌웨어로, 펌웨어에, 6.1을, 윈도우비스타, BIOS와, TH2",True
internet,인터넷,"인터넷, 인터넷이나, 파일공유, 인터넷과, 인터넷의, 포털서비스, 인터넷이, 블로그등, 인터넷망, 세이클럽",True
Tag,태그,"태그, Tag, 보관물, 스퀘어드, ID3, 10목록, getTitleObject, 태그를, 소송계류정보, 메가에반",True
domain,도메인,"도메인, 도메인과, 도메인의, DNS, Domain, domain, 도메인을, 주소들, 주소란, 도메인이란",True
process,프로세스,"과정, 절차, 과정의, 과정이, 과정이자, 과정들, 단계들, 과정을, 작업, 과정상",False
digital,디지털,"디지털, 다매체, 컨버젼스, 이미징, -디지털, 레코더의, 디지탈, 미디어, XDCAM, 어학기",True
mainboard,메인보드,"마더보드, 메인보드, X200, 메인보드에는, 주변기기와, P55, 메인보드와, 메인보드에, 리드텍, 그래픽카드",True
hub,허브,"허브, 허브로서의, Hub, 허브인, 허브로, 거점, 선도대학, 물류, hub, 허브입니다",True
user-interface,유저인터페이스,"개발환경의, GUI와, 사용성, 인터페이스까지, 정보구조, UI와, 인터페이스와, UI디자인, UI, 직관적인",False
interrupt,인터럽트,"리셋을, 인터럽트, 종료나, 실행중, 액서스, 루틴을, 재접속, 예외상황, 호출하거나, 방해",True
tethering,테더링,"테더링, OTG, 무선랜과, 부가기능, 확장용, 나노심, 결합, V터치, 서드파티, 분실방지",True
interface,인터페이스,"인터페이스, 인터페이스를, 인터페이스의, 인터페이스용, 컴포넌트와, 인터페이, 인터페이스와, XPCOM, 인터페이스인, 인터페이스가",True
Uber,우버,"우버택시, 우버가, Uber, 우버, 우버는, 무인자동차의, 택시와, 우버의, 우버와, Lyft",True
twitter,트위터,"SNS, 트위터, 페이스북페이지, sns, 페이스북, 트렌딩, 트위터도, Twitter, 응원댓글, 두잇",True
archive,아카이브,"아카이브, 아카이브를, 아카이빙, 아카이브나, 아카이브된, 아카이브와, 아카이브에, 수장고, 마이크로필름, 검색자료",True
metadata,메타데이터,"메타데이터, 메타데이타, 메타데이터가, OPML, 메타데이터의, MHTML, 중복제거, 메타데이터를, 메타데이터에, 템플리트",True
cache-memory,캐시메모리,N/A,False
dropbox,드롭박스,"파일등, 폴더를, sd카드에, 파일관리, 압축파일이, 원드라이브, 파일업로드, 파일을, usb로, 백업파일",False
hardware,하드웨어,"하드웨어, 하드웨어나, 미니컴퓨터, 하드웨어의, 소프트웨어, 하드웨어를, 메모리칩, 하드웨어와, 하드웨어에, 하드웨어도",True
rendering,렌더링,"렌더링에서, 랜더링, 렌더링, 쉐이딩, 래스터화, 렌더링에, WPF의, 에드온, 랜더링은, 렌더링이",True
watermark,워터마크,"워터마크는, 워터마크를, 워터마크의, 워터마크, 나인패치, 워터마킹, 무단도용을, 저작권, 글꼴의, 폰트의",True
blog,블로그,"블로그, 블로그를, 윤톡톡, 미즈넷, 블로그에, 블러그, PC사랑, 블로그의, 이웃분들, 앱스토리",True
module,모듈,"모듈, MUX, 모듈과, PLECS, 랩뷰, IPMI, 모듈인, GPIO, Module, 각종센서",True
contents,콘텐츠,"내용물, 파일들의, 내용, 제목, 내용물과, 첫부분, 첨부문서, 유통과정, 첨부물, 상자",False
middleware,미들웨어,"미들웨어, 미들웨어에, 미들웨어를, 미들웨어로, 솔루션들과, 프레임웍과, 미들웨어의, 로드밸런서, AUTOSAR, PaaS는",True
crowd-funding,크라우드-펀딩,"펀딩, 킥스타터, 인디고고, 크라우드펀딩, 킥스타터와, 펀딩은, 소셜펀딩, 킥스타터의, 크라우드펀딩은, 킥스타터에서",False
solution,솔루션,"해결, 해법, 솔루션, 솔루션을, 해결책, 해결법, 해결법은, 해결책은, 해결책인, 솔루션이라고",True
intranet,인트라넷,"인트라넷, 인트라넷이나, 그룹웨어와, 인트라넷이, 인트라넷에, 서비스망, 웹서비스로, 텔레포니와, 쉐어포인트, 통계시스템",True
server,서버,"서버, 서버의, 서버를, 서버에서, 서버에, 서버와, 서버나, 서버는, 클라이언트, 알FTP",True
compiler,컴파일러,"퀵소트, 코볼, 인터프리터, 레일스, 마이바티스, 프레임웍, C언어는, ORM, 전처리기, GLSL",False
embedded-system,임베디드시스템,N/A,False
hypertext,하이퍼텍스트,"하이퍼텍스트, 하이퍼텍스트는, 하이퍼텍스트와, 하이퍼미디어, 하이퍼텍스트의, 하이퍼텍스트를, 하이퍼텍스트로, 하이퍼텍스트가, 월드와이드웹, 하이퍼텍스트라는",True
Codec,코덱,"PHY, 컨버터, SAPI, 10-bit, UMD, DSD, EAX, HE-AAC, ADPCM, AVX",False
Avatar,아바타,"아바타, 퓨처파이트, 쿵푸팬더3, 배틀쉽, 컨저링2, 패신저스, 가오갤, 영화예고편, 블래스트걸즈, 스타트렉의",True
hot-spot,핫스팟,"핫스팟, 음영지역, 명소, 도심지, 맛집과, 맛집이, 관광도시로서의, 명소로, 관광도시로서, 기상현상",True
Telematics,텔레매틱스,"텔레매틱스, 커넥티비티, 유블럭스, 커넥티드카의, Infotainment, TPMS, 커넥티드카, 인포테인먼트, IVN, 커넥티드",True
yahoo,야후,"tw, QQ, gws, google.com, 오피톡, 안카메라, ij, 읽으세요., msn, 한미르",False
Machine-Learning,머신-러닝,"데이터마이닝과, 기계학습, 텍스트마이닝, 데이터마이닝을, 기계학습과, 데이터마이닝은, 머신러닝, 강화학습은, 코그너티브, 데이터마이닝의",False
macro,매크로,"Macro, 매크로, 매크로와, CFG, macro, 예제3, 어안, 숫자형, 아웃포커싱, if문",True
core,코어,"핵심, 코어, core, 核心, 역량, 인프라로서의, 2소켓, 시리콘, 요소, 넥센타",True
cookie,쿠키,"쿠키, 쿠키를, 쿠키와, 케익이나, 쿠기, 쿠키에, 케잌, 쿠키나, 쿠키가, 머핀",True
hacking,해킹,"해킹, 해커들의, 해커가, 해킹은, 해커, 해킹에, 해킹으로, 해킹이라는, 해커들이, 해킹과",True
Google,구글,"구글, 구글을, 구글은, 야후나, 구글의, 구글이, 학술검색, google의, 구글에, 검색창",True
Excel,엑셀,"엑셀, 엑셀이나, Excel, xlsx, 도큐웍스, 엑셀함수, DOCX, 스프레드쉬트, 작성법과, MS워드",True
streaming,스트리밍,"스트리밍, 스트리밍이나, 스트리밍을, 스트리밍도, 스트리밍과, streaming, 스트리밍에서, 스트리밍되는, 스트리밍이, VOD",True
registry,레지스트리,"결혼중개업의, 의료기록, 보안정보, 레지스트리, 자료삭제, 암호변경, 전산화, 관리-, 시험검사, 전문간호사",True
Macintosh,매킨토시,"매킨토시, 맥킨토시, 매킨토시나, 매킨토시와, 매킨토시용, 애플2, 윈도우즈와, 윈도우즈, IIGS, 도스용",True
microprocessor,마이크로프로세서,"DRAM, ASIC, VLSI, 곱셈기, 혼합신호, 마이크로프로세서, DRAM의, 8086의, 회로설계, 초저전력",True
repeater,리피터,"수신기, 송신기와, 송신기로, RTU, 리모콘, 전화기, 접속용, 커패시턴스, 송신기, 집선",False
data,데이터,"데이터, 데이터의, 분석용, 관측자료, 데이터를, 통계정보의, 반정형, 수집부터, 데이타, 자료",True
programmer,프로그래머,"프로그래머, 프로그래머나, 프로그래밍, 프로그래머이자, 엔지니어다, 개발자, 개발자로써, 개발자가, 프로그래머가, 프로그래머와",True
workstation,워크스테이션,"컴퓨터, 데스크탑, 랩탑, 작업공간, PC, PC를, PC가, 가상머신, 워크스테이션, 데스크톱",True
FinTech,핀테크,"핀테크, 금융기술, 블록체인, 인터넷전문은행의, 금융산업, ICT기술, 인터넷전문은행, 스타트업들의, 금융혁신, 핀테크산업",True
Ubiquitous,유비쿼터스,"컨버전스란, 가상도서관, 증강현실이, 사물인터넷의, 일루미나, Iridium, 컨버전스형, 모바일인터넷, 컨버전스의, 러닝이란",False
Naver-Band,네이버-밴드,N/A,False
legacy,레거시,"유산과, 역사이자, 위인들의, 유산인, 발자취와, 숙원, 변모와, 레거시, 백년간의, 유산을",True
Pharming,파밍,"유전자변형생물체, 품종개량, 천연물, 형질전환동물, 유전자재조합, 바이오신약, 유전자변형작물, 표적항암제, 신약개발이, 억제효과",False
Lineage,리니지,"쥬라기원시전2, 암흑기사단, 계보, 킹덤언더파이어, 임모탈, 카마엘, 몽골제국, 중력전선, 다라이어스, 크루세이드",False
Deep-Learning,딥-러닝,N/A,False
hamming-code,해밍코드,N/A,False
bluetooth,블루투스,"블루투스, 유에스비, 블루투스4.0, 블투, 블루투스나, HC-06, HD-LINK, 외장스피커, 유니파잉, USB",True
bridge,브리지,"다리, 주탑, 보행로, 교량과, 육교, 교량, 절개지, 철교, 물막이, 전신주",False
kiosk,키오스크,"판매소, 계산대, 키오스크, 판매대, 기념품점, 매점, 상점, 판매장, 식당가, 키오스크를",True
power-supply,파워서플라이,"고전류, 전력, 공급장치, 전력변환, 전력공급, 배전반, 냉각팬, 공급기와, 전력소모, 130W",False
open-source,오픈소스,"오픈소스이며, 오픈소스, 오픈소스와, 오픈소스나, 공개소프트웨어, 오픈소스이고, 오픈소스들이, 오픈소스가, 공개소스, 오픈소스로",True
firm-banking,펌뱅킹,N/A,False
flash-game,플래시게임,"리듬액션, 스포츠게임, 벨트스크롤, 대전격투, 대전액션, 게임, 건슈팅, 게임4, 카드배틀, 아케이드게임",False
Kakao-Pay,카카오페이,N/A,False
groupware,그룹웨어,"그룹웨어와, 그룹웨어, 백오피스, 플랫폼간, 쉐어포인트, 하이퍼텍스트, 솔루션들과, 네트워킹, 브라우저와의, CORBA는",True
