English Word,Nearest Korean Words
사랑,"love, love.Then, love.So, love.But, love.These, love.When, friendship, love.They, love.Today, love.I"
호랑이,"tiger, tigers, lion, Tiger, lioness, rhinoceros, lions, Tigers, gorillas, hippopotamus"
책,"book, books, books.This, books.But, book.But, books--the, books.And, book.Not, book--but, paper-back"
컴퓨터,"computer, computers, compuer, Computer, comptuer, comupter, non-computer, micro-computers, computing, computer-type"
비행기,"airplanes, airplane, planes, plane, aircraft, aeroplane, aeroplanes, airliner, airliners, air-plane"
기차,"train, trains, buses, bus, railway, ferry, tram, busses, trams, trains.I"
전화기,"telephones, phone, phones, videophone, telephone, videophones, payphone, rotary-dial, cellphone, walky-talky"
텔레비전,"television, TV, televison, televsion, tv, Television, t.v., T.V., telelvision, telvision"
미디어,"media, multimedia, media-based, multi-media, new-media, transmedia, cross-media, Media, digital-media, video-rich"
약물,"drugs, drug, medications, medication, narcotic, substances, durgs, opiate-based, drugs.This, drugs.What"
빵,"bread, sandwish, sandwiches, biscuits, doughnuts, pizzas, pies, butter, flatbread, sausage"
오이,"tuvar, turnips, miso, beets, zuke, asparagus, Dilled, battera, eggplant, radish"
의사,"physician, doctors, physicians, doctor, patient, physicans, pharmacists, surgeon, medical, clinician"
교수,"professor, professors, lecturers, lecturer, faculty, Professor, proffessor, vice-provost, dean, rofessor"
학생,"students, student, teachers, classmates, schoolchildren, non-students, teacher, school, pupils, middle-school"
똑똑한,"smart, smarter, intelligent, not-so-smart, super-smart, highly-intelligent, Smarter, smart.The, tech-savvy, scary-smart"
회사,"company, comapny, companies, corporation, compnay, comany, compan, comapany, non-company, companie"
주식,"shares, stocks, stock, stockmarket, exchange-listed, stocks.I, stock-market, U.S.-traded, securities, B-shares"
은행,"banks, bank, banking, Banking, Bank, banks.This, bankers, Banks, bankin, money-center"
나무,"trees, tree, wood, sycamore, saplings, sapling, oak, cedar, willow, twigs"
돈,"money, moeny, cash, momey, moolah, money.He, money--and, cashy, money.But, dosh"
왕,"king, prince, kings, King, crown-prince, princes, hero-king, king.The, warrior-king, king.But"
예루살렘,"Jerusalem, Jersusalem, Jerusalem.In, Jersualem, Jerusalem-, Jerusalem., Yerusalem, Beirut, Damascus, Rome"
신성,"Welfs, Austenasian, Lothaire, margraviate, Greek-Roman, impious, divinity, Papacy, half-god, demigod"
성교,"intercourse, coitus, sex, orgasm, lovemaking, orgasms, intercourses, buttfucking, anal-sex, hand-job"
마라도나,"Francescoli, Lavolpe, Stielike, Goycochea, Sampaoli, Butragueño, Zidane, Tabárez, Copa, Albicelestes"
축구,"soccer, football, footballers, handball, futsal, rugby, footballing, top-league, basketball, club"
테니스,"tennis, badminton, tennis-, volleyball, Tennis, racquetball, racquet, racketball, Badminton, basketball"
아라파트,"al-Sharaa, Mussawi, Arafat, Mutassim, Qabalan, Gaddafi, Gadhafi, al-Kurdi, Obeidi, al-Samarrai"
법,"laws, law, legislations, statutes, Laws, laws-, law--, law.One, law.When, law.So"
영화,"movie, movies, film, films, cinema, moview, films.But, film-, movie-, movied"
물리,"physics, magnetostatics, physics.I, science, phisics, Physics, quatum, phyics, phsyics, mathematics"
우주,"spaceship, space-travel, inter-planetary, spaceships, interstellar, space-ship, space-exploration, space-ships, space-station, intersteller"
알코올,"alcohol, alcohol-, alchohol, alcoho, alcoholic, alochol, Alcohol, acohol, alcohol.A, Alcohol-"
보드카,"vodka, Fernet-Branca, wodka, beer, Jaegermeister, brandy, wine, liqueur, whiskey, kvass"
아기,"baby, babies, newborn, infant, toddler, new-born, child, new-borns, just-born, infant-sized"
음료,"beverages, drinks, beverage, drink, soft-drinks, sodas, softdrinks, drinks.This, non-cola, soft-drink"
자동차,"car, automobile, automotive, auto-mobile, cars, automobiles, vehicles, motorcycle, vehicle, sportcar"
