English Word,Nearest Korean Words
사랑,"sex, lovemaking, foreplay, sexin, erotic, threesome, sexcapade, masturbation, sex.As, intercourse"
호랑이,"zoo, Zoo, zoos, zoo.The, Aquarium, Zoos, mini-zoo, zoo-, Zoomobile, Zoo-"
책,"library, Library, libraries, Libray, library.A, Libraries, libraries.The, bookstacks, library.The, librarians"
컴퓨터,"software, open-source, Software, sofware, non-software, PC-based, soft-ware, softare, ftware, developer"
비행기,"car, automobile, automotive, auto-mobile, cars, automobiles, vehicles, motorcycle, vehicle, sportcar"
기차,"car, automobile, automotive, auto-mobile, cars, automobiles, vehicles, motorcycle, vehicle, sportcar"
전화기,"equipment, equpment, equipement, equipments, equiptment, eqipment, equiment, equpiment, eqiupment, equipment.But"
텔레비전,"movie, movies, film, films, cinema, moview, films.But, film-, movie-, movied"
미디어,"profits, profit, profts, proft, proﬁts, revenue, profits-, earnings, profits.The, revenues"
약물,"improper, misuse, misuses, abuses, curtail, excessive, overuse, illict, mis-use, miss-use"
빵,"biscuit, ginger-flavored, sugar, flavored, syrup, orange-infused, caramel-flavored, flour, chocolate-coconut, syrup-soaked"
오이,"potatoes, potato, turnips, corn, cornbread, onions, tomatoes, rutabagas, onion, zucchini"
의사,"responsibility, reponsibility, repsonsibility, responsbility, responsibilty, responsiblity, responsibity, resonsibility, responsiblilty, responsiblility"
교수,"tuvar, turnips, miso, beets, zuke, asparagus, Dilled, battera, eggplant, radish"
학생,"professor, professors, lecturers, lecturer, faculty, Professor, proffessor, vice-provost, dean, rofessor"
똑똑한,"stupid, stupid.It, dumb, Short-sighted, Stupid, obnoxious, short-sighted, idiotic, STUPID, arrogant"
회사,"shares, stocks, stock, stockmarket, exchange-listed, stocks.I, stock-market, U.S.-traded, securities, B-shares"
주식,"life, lives, life--that, life--the, life--not, life--in, life--it, life--which, life--and, life--"
은행,"money, moeny, cash, momey, moolah, money.He, money--and, cashy, money.But, dosh"
나무,"forest, forests, woodlands, woods, woodland, wetlands, forest.The, forrest, meadows, meadow"
돈,"company, companies, corporate, firms, enterprises, enterprise, corporation, business, corporations, sector"
왕,"Euny, Illtyd, sex, Eauze, Julitta, commote, Caelian, celibacy, Blanchefort, sexuality"
예루살렘,"Palestinian, Libyan, Palestine, Palestinean, Jordanian, Syrian, Arab, Palistinian, Sudanese, Jerusalem"
신성,"sex, lovemaking, foreplay, sexin, erotic, threesome, sexcapade, masturbation, sex.As, intercourse"
